#identify	virLoad	beta	sigma	xi	omega	alpha	m	lakeIntrod	infIndIntrod	SIntrod6.717033e+03
0	100	0.01100	5	30	273972602.7397260274	0.00	0.008	100	10	6.717033e+03
30	100	0.01100	5	30	273972602.7397260274	0.00	0.008	100	10	6.717033e+03
60	100	0.01100	5	30	273972602.7397260274	0.00	0.008	100	10	6.717033e+03
90	100	0.01100	5	30	273972602.7397260274	0.00	0.008	100	10	6.717033e+03
